GID	SYMBOL	GENENAME
82	VaccDscaff22-augustus-gene-15.23	Heavy-metal-associated domain
83	VaccDscaff22-augustus-gene-15.21	WRKY transcription factor
84	VaccDscaff22-augustus-gene-15.22	exocyst complex component
85	VaccDscaff22-augustus-gene-16.28	isoform X1
86	VaccDscaff22-augustus-gene-16.30	Uncharacterized conserved protein (DUF2358)
87	VaccDscaff22-augustus-gene-16.29	Sphingoid long-chain bases kinase 2
88	VaccDscaff22-augustus-gene-16.35	mitogen-activated protein kinase
89	VaccDscaff22-snap-gene-16.45	Plectin/S10 domain
90	VaccDscaff22-augustus-gene-16.26	C-terminal binding protein
91	VaccDscaff22-augustus-gene-16.38	UDP-rhamnose rhamnosyltransferase 1
92	VaccDscaff22-augustus-gene-16.27	reveille
93	VaccDscaff22-processed-gene-16.5	UDP-rhamnose rhamnosyltransferase 1
94	VaccDscaff22-augustus-gene-16.39	Belongs to the glycosyl hydrolase 28 family
95	VaccDscaff22-augustus-gene-17.26	UDP-rhamnose rhamnosyltransferase 1
96	VaccDscaff22-augustus-gene-17.27	Protein of unknown function, DUF604
97	VaccDscaff22-processed-gene-17.6	E3 ubiquitin-protein ligase
98	VaccDscaff22-processed-gene-17.5	ferric reduction oxidase
99	VaccDscaff22-processed-gene-17.4	ferric reduction oxidase
100	VaccDscaff22-augustus-gene-17.31	Mechanosensitive ion channel protein 1
101	VaccDscaff22-augustus-gene-17.33	-
102	VaccDscaff22-augustus-gene-17.32	Protein RIC1 homolog
103	VaccDscaff22-augustus-gene-18.26	Belongs to the ubiquitin-conjugating enzyme family
104	VaccDscaff22-augustus-gene-18.23	E3 ubiquitin-protein ligase
105	VaccDscaff22-snap-gene-18.32	AT-rich interactive domain-containing protein
106	VaccDscaff22-processed-gene-18.2	belongs to the protein kinase superfamily
107	VaccDscaff22-augustus-gene-18.27	ATP-dependent helicase
108	VaccDscaff22-snap-gene-18.36	Belongs to the glycosyl hydrolase 5 (cellulase A) family
109	VaccDscaff22-snap-gene-18.35	Belongs to the cysteine synthase cystathionine beta- synthase family
110	VaccDscaff22-augustus-gene-19.20	-
111	VaccDscaff22-snap-gene-19.28	ATG8-interacting protein
112	VaccDscaff22-snap-gene-19.33	anion transporter
113	VaccDscaff22-augustus-gene-19.24	Phosphate acyltransferases
114	VaccDscaff22-augustus-gene-19.26	U-box domain-containing protein
115	VaccDscaff22-augustus-gene-19.25	U-box domain-containing protein
116	VaccDscaff22-snap-gene-19.32	anion transporter 2, chloroplastic
117	VaccDscaff22-augustus-gene-20.25	U-box domain-containing protein
118	VaccDscaff22-snap-gene-20.31	U-box domain-containing protein
119	VaccDscaff22-snap-gene-20.35	U-box domain-containing protein
120	VaccDscaff22-augustus-gene-20.29	U-box domain-containing protein
121	VaccDscaff22-processed-gene-20.17	U-box domain-containing protein
122	VaccDscaff22-augustus-gene-21.18	Belongs to the iron ascorbate-dependent oxidoreductase family
123	VaccDscaff22-snap-gene-21.24	mediator of RNA polymerase II transcription subunit
124	VaccDscaff22-snap-gene-21.23	serine-type endopeptidase activity
125	VaccDscaff22-snap-gene-21.29	transcription factor
126	VaccDscaff22-augustus-gene-21.19	rop guanine nucleotide exchange factor
127	VaccDscaff22-processed-gene-21.5	Pentatricopeptide repeat-containing protein
128	VaccDscaff22-snap-gene-22.37	beta-amylase
129	VaccDscaff22-augustus-gene-22.31	F-box kelch-repeat protein
130	VaccDscaff22-snap-gene-22.38	Belongs to the eukaryotic ribosomal protein eL36 family
131	VaccDscaff22-processed-gene-22.7	Lipase 3 N-terminal region
132	VaccDscaff22-snap-gene-22.45	Bifunctional 3-dehydroquinate dehydratase shikimate dehydrogenase
133	VaccDscaff22-augustus-gene-23.30	Domain of unknown function (DUF296)
134	VaccDscaff22-augustus-gene-23.35	serine threonine-protein kinase
135	VaccDscaff22-processed-gene-23.25	Multiple C2 and transmembrane domain-containing protein
136	VaccDscaff22-processed-gene-23.13	Multiple C2 and transmembrane domain-containing protein
137	VaccDscaff22-augustus-gene-24.28	Remorin-like
138	VaccDscaff22-snap-gene-24.43	Acyclic terpene utilisation family protein AtuA
139	VaccDscaff22-snap-gene-24.48	Belongs to the DEAD box helicase family
140	VaccDscaff22-snap-gene-24.49	Cleavage and polyadenylation specificity factor subunit
141	VaccDscaff22-augustus-gene-24.33	adenosine deaminase
142	VaccDscaff22-snap-gene-24.46	Transcription factor
143	VaccDscaff22-augustus-gene-25.12	Zinc-binding domain present in Lin-11, Isl-1, Mec-3.
144	VaccDscaff22-snap-gene-25.18	K( ) efflux antiporter
145	VaccDscaff22-augustus-gene-25.16	threonine aspartase
146	VaccDscaff22-augustus-gene-26.34	Glycosyl transferases group 1
147	VaccDscaff22-processed-gene-26.28	BON1-associated protein 2-like
148	VaccDscaff22-augustus-gene-26.48	RmlD substrate binding domain
149	VaccDscaff22-augustus-gene-26.49	-
150	VaccDscaff22-snap-gene-26.56	malic enzyme
151	VaccDscaff22-snap-gene-27.22	methyltransferase PMT13
152	VaccDscaff22-augustus-gene-27.18	Cop9 signalosome complex subunit
153	VaccDscaff22-snap-gene-27.19	RING-like zinc finger
154	VaccDscaff22-augustus-gene-27.16	homeobox-leucine zipper protein
155	VaccDscaff22-augustus-gene-27.15	belongs to the protein kinase superfamily
156	VaccDscaff22-augustus-gene-28.25	RING-H2 finger protein
157	VaccDscaff22-augustus-gene-28.23	f-box protein
158	VaccDscaff22-snap-gene-28.42	Zinc finger CCCH domain-containing protein
159	VaccDscaff22-augustus-gene-28.29	UDP-galactose UDP-glucose transporter
160	VaccDscaff22-augustus-gene-28.26	Protein-ribulosamine 3-kinase
161	VaccDscaff22-augustus-gene-28.28	Phosphorylates Ins(1,3,4,5,6)P5 at position 2 to form Ins(1,2,3,4,5,6)P6 (InsP6 or phytate)
162	VaccDscaff22-snap-gene-28.45	U-box domain-containing protein
163	VaccDscaff22-snap-gene-28.43	Peroxisomal membrane protein
164	VaccDscaff22-snap-gene-29.30	SPX domain-containing membrane protein
165	VaccDscaff22-processed-gene-29.7	Peroxisome biogenesis protein
166	VaccDscaff22-snap-gene-29.32	ATPase required for the post-translational delivery of tail-anchored (TA) proteins to the endoplasmic reticulum. Recognizes and selectively binds the transmembrane domain of TA proteins in the cytosol. This complex then targets to the endoplasmic reticulum by membrane-bound receptors, where the tail- anchored protein is released for insertion. This process is regulated by ATP binding and hydrolysis. ATP binding drives the homodimer towards the closed dimer state, facilitating recognition of newly synthesized TA membrane proteins. ATP hydrolysis is required for insertion. Subsequently, the homodimer reverts towards the open dimer state, lowering its affinity for the membrane-bound receptor, and returning it to the cytosol to initiate a new round of targeting
167	VaccDscaff22-augustus-gene-29.21	Zinc finger CCCH domain-containing protein
168	VaccDscaff22-augustus-gene-29.28	Acts as a sulfur carrier required for 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of cytosolic tRNA(Lys), tRNA(Glu) and tRNA(Gln). Serves as sulfur donor in tRNA 2- thiolation reaction by being thiocarboxylated (-COSH) at its C- terminus by MOCS3. The sulfur is then transferred to tRNA to form 2-thiolation of mcm(5)S(2)U. Also acts as a ubiquitin-like protein (UBL) that is covalently conjugated via an isopeptide bond to lysine residues of target proteins. The thiocarboxylated form serves as substrate for conjugation and oxidative stress specifically induces the formation of UBL-protein conjugates
169	VaccDscaff22-snap-gene-29.35	Acts as a sulfur carrier required for 2-thiolation of mcm(5)S(2)U at tRNA wobble positions of cytosolic tRNA(Lys), tRNA(Glu) and tRNA(Gln). Serves as sulfur donor in tRNA 2- thiolation reaction by being thiocarboxylated (-COSH) at its C- terminus by MOCS3. The sulfur is then transferred to tRNA to form 2-thiolation of mcm(5)S(2)U. Also acts as a ubiquitin-like protein (UBL) that is covalently conjugated via an isopeptide bond to lysine residues of target proteins. The thiocarboxylated form serves as substrate for conjugation and oxidative stress specifically induces the formation of UBL-protein conjugates
170	VaccDscaff22-augustus-gene-30.25	MADS-box protein
171	VaccDscaff22-augustus-gene-30.24	CRS2-associated factor 1
172	VaccDscaff22-snap-gene-30.30	MADS-box protein
173	VaccDscaff22-processed-gene-30.0	transcription factor
174	VaccDscaff22-snap-gene-30.36	K-box region
175	VaccDscaff22-augustus-gene-30.26	phospholipase d
176	VaccDscaff22-augustus-gene-30.27	Xylem serine proteinase
177	VaccDscaff22-augustus-gene-31.32	Belongs to the iron ascorbate-dependent oxidoreductase family
178	VaccDscaff22-processed-gene-31.16	O-acyltransferase (WSD1-like)
179	VaccDscaff22-processed-gene-31.0	negative regulation of mRNA splicing, via spliceosome
180	VaccDscaff22-augustus-gene-31.38	alpha/beta hydrolase fold
181	VaccDscaff22-augustus-gene-31.36	Poly(A) RNA polymerase
182	VaccDscaff22-augustus-gene-31.35	Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
183	VaccDscaff22-processed-gene-32.6	Protein kinase domain
184	VaccDscaff22-processed-gene-33.6	BAHD acyltransferase At5g47980-like
185	VaccDscaff22-augustus-gene-33.50	Transcription initiation factor
186	VaccDscaff22-snap-gene-33.63	cytochrome P450
187	VaccDscaff22-augustus-gene-33.56	Cytochrome p450
188	VaccDscaff22-snap-gene-33.65	cytochrome P450
189	VaccDscaff22-processed-gene-33.48	-
190	VaccDscaff22-augustus-gene-33.54	Cytochrome p450
191	VaccDscaff22-processed-gene-33.40	cytochrome P450
192	VaccDscaff22-processed-gene-34.3	PPR repeat
193	VaccDscaff22-augustus-gene-34.25	Belongs to the AAA ATPase family
194	VaccDscaff22-augustus-gene-34.26	transmembrane transport
195	VaccDscaff22-snap-gene-34.36	Cytochrome p450
196	VaccDscaff22-snap-gene-34.38	Quinone oxidoreductase-like protein
197	VaccDscaff22-processed-gene-35.40	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
198	VaccDscaff22-augustus-gene-35.53	fasciclin-like arabinogalactan protein
199	VaccDscaff22-augustus-gene-35.54	Ankyrin repeat and zinc finger domain-containing protein
200	VaccDscaff22-augustus-gene-35.68	Belongs to the class I-like SAM-binding methyltransferase superfamily. Erg6 SMT family
201	VaccDscaff22-augustus-gene-35.57	Mitochondrial metalloendopeptidase
202	VaccDscaff22-augustus-gene-35.56	Mitochondrial metalloendopeptidase OMA1
203	VaccDscaff22-augustus-gene-36.31	Pentatricopeptide repeat-containing protein
204	VaccDscaff22-augustus-gene-36.30	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
205	VaccDscaff22-snap-gene-36.43	Pentatricopeptide repeat-containing protein
206	VaccDscaff22-augustus-gene-36.36	lob domain-containing protein
207	VaccDscaff22-augustus-gene-36.35	Brefeldin A-inhibited guanine nucleotide-exchange protein
208	VaccDscaff22-processed-gene-36.6	Transcription factor that specifically binds AT-rich DNA sequences related to the nuclear matrix attachment regions (MARs)
209	VaccDscaff22-snap-gene-37.47	ATP-dependent DNA helicase 2 subunit KU80
210	VaccDscaff22-snap-gene-37.46	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH
211	VaccDscaff22-snap-gene-37.48	Glutathione S-transferase zeta class-like
212	VaccDscaff22-snap-gene-38.57	Myelodysplasia-myeloid leukemia factor 1-interacting protein
213	VaccDscaff22-augustus-gene-38.44	Fatty acid hydroxylase superfamily
214	VaccDscaff22-augustus-gene-38.47	Belongs to the DHHC palmitoyltransferase family
215	VaccDscaff22-processed-gene-38.1	Fatty acid hydroxylase superfamily
216	VaccDscaff22-augustus-gene-38.53	Protein of unknown function (DUF1442)
217	VaccDscaff22-augustus-gene-38.50	vestitone reductase-like
218	VaccDscaff22-processed-gene-38.34	vestitone reductase-like
219	VaccDscaff22-snap-gene-39.43	Plant protein of unknown function (DUF641)
220	VaccDscaff22-snap-gene-39.42	RNA 2'-phosphotransferase, Tpt1 / KptA family
221	VaccDscaff22-augustus-gene-39.37	Belongs to the EPSP synthase family
222	VaccDscaff22-processed-gene-39.4	UDP-glucuronate 4-epimerase
223	VaccDscaff22-augustus-gene-39.38	Transketolase
224	VaccDscaff22-processed-gene-39.9	Belongs to the arginase family
225	VaccDscaff22-snap-gene-39.44	receptor-like serine threonine-protein kinase
226	VaccDscaff22-snap-gene-39.48	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in mitochondrial tRNAs that read codons beginning with adenine. Probably involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37. Involved in mitochondrial genome maintenance
227	VaccDscaff22-snap-gene-39.47	DNA repair protein
228	VaccDscaff22-snap-gene-40.50	Acts in the modification of cell walls via demethylesterification of cell wall pectin
229	VaccDscaff22-snap-gene-40.46	Tubulin-folding cofactor
230	VaccDscaff22-augustus-gene-40.37	Tubulin-folding cofactor
231	VaccDscaff22-augustus-gene-40.45	Cysteine-rich repeat secretory protein
232	VaccDscaff22-augustus-gene-40.44	Pectinesterase
233	VaccDscaff22-augustus-gene-40.42	LL-diaminopimelate aminotransferase
234	VaccDscaff22-augustus-gene-40.43	Removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)
235	VaccDscaff22-snap-gene-40.51	L,L-diaminopimelate aminotransferase
236	VaccDscaff22-augustus-gene-41.24	Involved in transport from the ER to the Golgi apparatus as well as in intra-Golgi transport. It belongs to a super-family of proteins called t-SNAREs or soluble NSF (N-ethylmaleimide- sensitive factor) attachment protein receptor
237	VaccDscaff22-augustus-gene-41.25	axial regulator YABBY
238	VaccDscaff22-processed-gene-41.5	Plant protein of unknown function (DUF641)
239	VaccDscaff22-processed-gene-41.8	Auxin responsive protein
240	VaccDscaff22-processed-gene-42.3	lipid-binding protein
241	VaccDscaff22-snap-gene-42.43	Flavin-binding monooxygenase-like
242	VaccDscaff22-snap-gene-42.45	Autophagy-related protein
243	VaccDscaff22-augustus-gene-42.34	Flavin-binding monooxygenase-like
244	VaccDscaff22-augustus-gene-43.25	EF-hand domain pair
245	VaccDscaff22-processed-gene-43.0	Belongs to the GRAS family
246	VaccDscaff22-snap-gene-43.33	Belongs to the CDS family
247	VaccDscaff22-augustus-gene-43.28	Vesicle-associated protein
248	VaccDscaff22-augustus-gene-43.29	-
249	VaccDscaff22-augustus-gene-44.35	Nucleotidyltransferase domain
250	VaccDscaff22-processed-gene-44.5	Protein transport protein sec16
251	VaccDscaff22-snap-gene-44.43	U1-like zinc finger
252	VaccDscaff22-processed-gene-45.12	Zinc finger protein
253	VaccDscaff22-augustus-gene-45.41	Cyclin
254	VaccDscaff22-snap-gene-45.46	Belongs to the expansin family
255	VaccDscaff22-augustus-gene-46.28	F-box protein
256	VaccDscaff22-snap-gene-46.38	Necessary for protein translocation in the endoplasmic reticulum
257	VaccDscaff22-augustus-gene-46.33	Squamosa promoter-binding-like protein
258	VaccDscaff22-augustus-gene-46.34	Transcription factor
259	VaccDscaff22-processed-gene-47.28	Pentatricopeptide repeat-containing protein
260	VaccDscaff22-snap-gene-47.48	Nsp1-like C-terminal region
261	VaccDscaff22-processed-gene-47.8	Carotenoid cleavage dioxygenase 7
262	VaccDscaff22-augustus-gene-47.35	-
263	VaccDscaff22-snap-gene-47.47	Mitochondrial GTPase that catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A- site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome
264	VaccDscaff22-augustus-gene-47.36	Malate dehydrogenase
265	VaccDscaff22-augustus-gene-47.37	Melanoma-associated antigen
266	VaccDscaff22-augustus-gene-48.41	E3 ubiquitin-protein ligase BRE1-like
267	VaccDscaff22-snap-gene-48.42	chromodomain-helicase-DNA-binding protein 1-like
268	VaccDscaff22-processed-gene-48.9	DNA-binding domain in plant proteins such as APETALA2 and EREBPs
269	VaccDscaff22-processed-gene-49.1	Belongs to the UDP-glycosyltransferase family
270	VaccDscaff22-processed-gene-49.31	Belongs to the UDP-glycosyltransferase family
271	VaccDscaff22-processed-gene-49.9	Belongs to the UDP-glycosyltransferase family
272	VaccDscaff22-processed-gene-49.4	Belongs to the UDP-glycosyltransferase family
273	VaccDscaff22-processed-gene-49.6	Belongs to the UDP-glycosyltransferase family
274	VaccDscaff22-processed-gene-49.5	Belongs to the UDP-glycosyltransferase family
275	VaccDscaff22-augustus-gene-50.27	BEST Arabidopsis thaliana protein match is
276	VaccDscaff22-augustus-gene-50.31	homeobox-leucine zipper protein
277	VaccDscaff22-augustus-gene-50.30	K homology RNA-binding domain
278	VaccDscaff22-augustus-gene-50.28	Mitochondrial import inner membrane translocase subunit
279	VaccDscaff22-processed-gene-50.25	Functions as component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks
280	VaccDscaff22-augustus-gene-50.33	-
281	VaccDscaff22-snap-gene-51.55	Probable lipid transfer
282	VaccDscaff22-augustus-gene-51.43	Leucine carboxyl methyltransferase
283	VaccDscaff22-snap-gene-51.54	ARABIDILLO 1-like
284	VaccDscaff22-augustus-gene-51.42	ARABIDILLO 1-like
285	VaccDscaff22-augustus-gene-51.38	dual specificity protein phosphatase
286	VaccDscaff22-augustus-gene-51.47	Non-specific lipid-transfer protein
287	VaccDscaff22-snap-gene-51.58	UPF0565 protein C2orf69 homolog
288	VaccDscaff22-processed-gene-51.36	serine threonine-protein kinase
289	VaccDscaff22-snap-gene-52.23	GRAM domain-containing protein
290	VaccDscaff22-processed-gene-52.3	Phospholipase A(1) DAD1
291	VaccDscaff22-augustus-gene-52.22	E3 ubiquitin-protein ligase
292	VaccDscaff22-snap-gene-53.54	WRKY Transcription Factor
293	VaccDscaff22-snap-gene-53.52	transcription factor
294	VaccDscaff22-processed-gene-53.16	ELMO domain-containing protein
295	VaccDscaff22-snap-gene-53.47	glycine--tRNA ligase
296	VaccDscaff22-augustus-gene-53.39	electron transfer activity
297	VaccDscaff22-processed-gene-53.1	Plasminogen activator inhibitor 1 RNA-binding
298	VaccDscaff22-processed-gene-53.32	-
299	VaccDscaff22-snap-gene-53.57	-
300	VaccDscaff22-snap-gene-53.55	Ras-related protein
301	VaccDscaff22-augustus-gene-54.35	Cyclin
302	VaccDscaff22-snap-gene-54.39	dol-P-Man Man(7)GlcNAc(2)-PP-Dol
303	VaccDscaff22-snap-gene-55.65	Cytochrome c oxidase-assembly factor COX23
304	VaccDscaff22-augustus-gene-55.55	Belongs to the TBCA family
305	VaccDscaff22-processed-gene-55.2	disease resistance
306	VaccDscaff22-augustus-gene-55.51	Ubiquitin carboxyl-terminal hydrolase
307	VaccDscaff22-processed-gene-55.1	disease resistance
308	VaccDscaff22-augustus-gene-55.50	meprin and TRAF homology
309	VaccDscaff22-snap-gene-55.68	At1g28695-like
310	VaccDscaff22-snap-gene-55.69	Belongs to the small GTPase superfamily. Rho family
311	VaccDscaff22-snap-gene-56.37	casein kinase II subunit
312	VaccDscaff22-snap-gene-56.46	ATP synthase subunit delta'
313	VaccDscaff22-snap-gene-56.42	eukaryotic translation initiation factor
314	VaccDscaff22-augustus-gene-56.35	zinc-finger of the FCS-type, C2-C2
315	VaccDscaff22-augustus-gene-56.30	cytochrome P450
316	VaccDscaff22-snap-gene-57.25	purine permease
317	VaccDscaff22-processed-gene-57.0	E3 ubiquitin-protein ligase
318	VaccDscaff22-snap-gene-57.24	Ras-related protein
319	VaccDscaff22-snap-gene-57.26	malic enzyme
320	VaccDscaff22-augustus-gene-58.25	Belongs to the disease resistance NB-LRR family
321	VaccDscaff22-snap-gene-58.35	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
322	VaccDscaff22-snap-gene-58.37	Catalyzes the phosphorylation of pyrimidine nucleoside monophosphates at the expense of ATP. Plays an important role in de novo pyrimidine nucleotide biosynthesis. Has preference for UMP and CMP as phosphate acceptors
323	VaccDscaff22-augustus-gene-58.24	malic enzyme
324	VaccDscaff22-snap-gene-58.36	Nucleolar GTP-binding protein
325	VaccDscaff22-augustus-gene-58.29	Haloacid dehalogenase-like hydrolase domain-containing protein Sgpp
326	VaccDscaff22-augustus-gene-59.30	Belongs to the sterol desaturase family
327	VaccDscaff22-processed-gene-59.6	Belongs to the sterol desaturase family
328	VaccDscaff22-augustus-gene-60.28	Belongs to the sterol desaturase family
329	VaccDscaff22-snap-gene-60.31	Belongs to the sterol desaturase family
330	VaccDscaff22-augustus-gene-61.25	Probably involved in the RNA silencing pathway and required for the generation of small interfering RNAs (siRNAs)
331	VaccDscaff22-processed-gene-61.4	Disease resistance RPP13-like protein 4
332	VaccDscaff22-snap-gene-61.29	ABC transporter C family member
333	VaccDscaff22-snap-gene-61.32	Phosphoribosyl synthetase-associated domain
334	VaccDscaff22-snap-gene-61.33	NADH dehydrogenase ubiquinone 1 alpha subcomplex assembly factor
335	VaccDscaff22-snap-gene-62.27	Belongs to the iron ascorbate-dependent oxidoreductase family
336	VaccDscaff22-snap-gene-62.26	TMV resistance protein N-like
337	VaccDscaff22-snap-gene-62.25	Domain of unknown function (DUF4220)
